,Brand,Model,Variant,Manufacturing_Year,Driven_Kilometers,Fuel,Number_Of_Owners,Location,Price
1011,BMW,5-Series,530d M Sport [2013-2017],2013,"56,486 Kms",Diesel,First,Chennai,27 Lakh
1012,Audi,A4,30 TFSI Premium Plus,2017,"35,000 Kms",Petrol,First,Chennai,24 Lakh
1013,Hyundai,Santro,GL,2007,"55,475 Kms",Petrol,Second,Mumbai,1.25 Lakh
1014,Honda,Amaze,1.2 V MT Petrol [2018-2020],2019,"10,444 Kms",Petrol,First,Mumbai,7.5 Lakh
1015,Honda,City,1.5 S AT,2009,"44,093 Kms",Petrol,First,Mumbai,3.24 Lakh
1016,Toyota,Innova,2.5 G BS III 7 STR,2010,"62,479 Kms",Diesel,First,Mumbai,5.15 Lakh
1017,Renault,Kwid,RXT Opt [2015-2019],2017,"34,000 Kms",Petrol,First,Nashik,3.6 Lakh
1018,Volkswagen,Polo,Highline Plus 1.5 (D) 16 Alloy,2017,"45,000 Kms",Diesel,First,Nashik,6.75 Lakh
1019,Honda,Jazz,V Petrol,2016,"60,000 Kms",Petrol,First,Nashik,6.25 Lakh
1020,Hyundai,Creta,SX 1.6 CRDI,2017,"68,789 Kms",Diesel,First,Bangalore,11.85 Lakh
1021,Maruti Suzuki,Celerio,ZXi AMT [2019-2020],2015,"53,000 Kms",Petrol,First,Zirakpur,3.45 Lakh
1022,Hyundai,Eon,Era + LPG,2012,"43,000 Kms",LPG,First,Nashik,2.6 Lakh
1023,Hyundai,Elite i20,Sportz 1.2,2018,"18,815 Kms",Petrol,First,Jaipur,6.25 Lakh
1024,Maruti Suzuki,Swift,VXi [2014-2017],2018,"52,000 Kms",Petrol,First,Ranchi,4.85 Lakh
1025,Hyundai,Eon,Era +,2018,"72,600 Kms",Petrol,First,Ranchi,2.5 Lakh
1026,Volkswagen,Polo,Comfortline 1.2L (D),2013,"90,000 Kms",Diesel,Second,Ranchi,3.1 Lakh
1027,Maruti Suzuki,Alto 800,Lxi,2017,"43,000 Kms",Petrol,First,Ranchi,2.35 Lakh
1028,Tata,Indigo,LS CR4 BS-IV,2012,"73,000 Kms",Diesel,Third,Ranchi,1.65 Lakh
1029,Maruti Suzuki,Eeco,5 STR WITH A/C+HTR [2019-2020],2019,"31,768 Kms",Petrol,First,Ranchi,3.4 Lakh
1030,Maruti Suzuki,Swift DZire,VDI,2016,"42,163 Kms",Diesel,First,Ranchi,4.8 Lakh
1031,Ford,Figo,Duratec Petrol EXI 1.2,2011,"52,000 Kms",Petrol,Second,Ranchi,1.85 Lakh
1032,Tata,Indigo,LS CR4 BS-IV,2012,"73,000 Kms",Diesel,Third,Ranchi,1.65 Lakh
1033,Maruti Suzuki,Eeco,5 STR WITH A/C+HTR [2019-2020],2019,"31,768 Kms",Petrol,First,Ranchi,3.4 Lakh
1034,Maruti Suzuki,Swift DZire,VDI,2016,"42,163 Kms",Diesel,First,Ranchi,4.8 Lakh
1035,Ford,Figo,Duratec Petrol EXI 1.2,2011,"52,000 Kms",Petrol,Second,Ranchi,1.85 Lakh
1036,Mercedes-Benz,SLC,43 AMG,2017,"11,500 Kms",Petrol,Second,Delhi,62 Lakh
1038,Lexus,NX,300h Luxury [2017-2020],2018,"43,500 Kms",Petrol,First,Delhi,51 Lakh
1039,MINI,Convertible,2,2019,"10,500 Kms",Petrol,Second,Delhi,41 Lakh
1040,BMW,X1,sDrive20d xLine,2019,"9,500 Kms",Diesel,First,Delhi,35 Lakh
1041,Audi,Q5,40 TDI Premium Plus,2018,"27,500 Kms",Diesel,First,Delhi,42 Lakh
1042,Mercedes-Benz,V-Class,Expression ELWB,2020,"16,500 Kms",Diesel,First,Delhi,85 Lakh
1043,Audi,A4,35 TDI Technology,2018,"28,500 Kms",Diesel,Second,Delhi,30 Lakh
1044,Mercedes-Benz,GLE,43 AMG 4Matic 2016,2016,"41,000 Kms",Petrol,Second,Delhi,63 Lakh
1045,MINI,Clubman,Cooper S,2019,"11,500 Kms",Petrol,First,Delhi,41 Lakh
1046,Porsche,Cayenne,Platinum Edition Diesel,2016,"27,500 Kms",Diesel,First,Delhi,65 Lakh
1047,BMW,X5,xDrive 30d M Sport,2018,"28,500 Kms",Diesel,First,Delhi,52.75 Lakh
1048,Audi,A3,40 TFSI,2016,"24,500 Kms",Petrol,Second,Delhi,35 Lakh
1049,Mercedes-Benz,C-Class,C 200 Progressive [2018-2020],2019,"9,800 Kms",Petrol,First,Delhi,42 Lakh
1050,BMW,X4,xDrive20d M Sport X [2019-2020],2019,"32,000 Kms",Diesel,Second,Delhi,51 Lakh
1052,BMW,6-Series GT,630i Sport Line,2019,"19,500 Kms",Petrol,Second,Delhi,53 Lakh
1053,Mercedes-Benz,GLE,43 4MATIC [2017-2019],2020,"7,500 Kms",Petrol,First,Delhi,85 Lakh
1054,Porsche,718,Boxster,2017,"21,000 Kms",Petrol,Second,Delhi,75 Lakh
1055,Mercedes-Benz,SLK-Class,350,2012,"19,500 Kms",Petrol,First,Delhi,32 Lakh
1056,BMW,6-Series GT,630i Sport Line,2019,"19,500 Kms",Petrol,Second,Delhi,53 Lakh
1057,Mercedes-Benz,GLE,43 4MATIC [2017-2019],2020,"7,500 Kms",Petrol,First,Delhi,85 Lakh
1058,Porsche,718,Boxster,2017,"21,000 Kms",Petrol,Second,Delhi,75 Lakh
1059,Mercedes-Benz,SLK-Class,350,2012,"19,500 Kms",Petrol,First,Delhi,32 Lakh
1060,Mercedes-Benz,E-Class,E 220d Expression [2019-2019],2018,"33,000 Kms",Diesel,First,Delhi,44 Lakh
1061,Audi,Q3,35 TDI quattro Premium Plus,2017,"27,500 Kms",Diesel,Second,Delhi,24 Lakh
1062,Mercedes-Benz,GLA,200 Urban Edition,2020,"27,500 Kms",Petrol,First,Delhi,33 Lakh
1063,Tata,Nano,CX,2011,"53,000 Kms",Petrol,Fourth,Ranchi,0.52
1064,Mahindra,Bolero,SLX BS III,2012,"99,296 Kms",Diesel,Third,Samastipur,4.25 Lakh
1065,Mahindra,Bolero,SLE BS III,2011,"72,636 Kms",Diesel,First,Samastipur,3.85 Lakh
1066,Mahindra,Scorpio,VLX 2WD BS-III,2008,"85,000 Kms",Diesel,Second,Ranchi,2.8 Lakh
1067,Hyundai,Creta,1.6 SX Plus AT Petrol,2018,"48,600 Kms",Petrol,First,Mumbai,12.99 Lakh
1068,Maruti Suzuki,Ciaz,Alpha 1.4 AT,2017,"47,250 Kms",Petrol,First,Mumbai,8.15 Lakh
1069,Hyundai,Grand i10,Sportz (O) AT 1.2 Kappa VTVT [2017-2018],2017,"44,284 Kms",Petrol,First,Mumbai,5.65 Lakh
1070,Skoda,Rapid,Ambition 1.6 MPI AT,2019,"10,000 Kms",Petrol,First,Mumbai,9.85 Lakh
1071,Volkswagen,Polo,GT TSI,2016,"59,854 Kms",Petrol,First,Mumbai,6.45 Lakh
1072,Toyota,Corolla Altis,VL AT Petrol,2016,"80,357 Kms",Petrol,First,Mumbai,9.85 Lakh
1073,BMW,X1,sDrive20d M Sport,2013,"1,05,340 Kms",Diesel,Second,Coimbatore,13 Lakh
1074,Maruti Suzuki,Swift,VXi,2006,"79,915 Kms",Petrol,Second,Thane,1.75 Lakh
1075,Toyota,Prado,VX L,2011,"1,58,000 Kms",Diesel,Second,Mumbai,33.5 Lakh
1076,Porsche,Cayenne,Diesel,2012,"1,35,256 Kms",Diesel,First,Hyderabad,29 Lakh
1077,Honda,City,1.5 S MT,2009,"1,21,580 Kms",Petrol,First,Hyderabad,3.85 Lakh
1078,Mitsubishi,Pajero,SFX 2.8,2010,"1,59,264 Kms",Diesel,First,Hyderabad,8.25 Lakh
1079,Toyota,Innova,2.5 V 8 STR,2009,"1,37,628 Kms",Diesel,First,Hyderabad,7.25 Lakh
1080,Honda,City,1.5 S MT,2009,"1,21,580 Kms",Petrol,First,Hyderabad,3.85 Lakh
1081,Mitsubishi,Pajero,SFX 2.8,2010,"1,59,264 Kms",Diesel,First,Hyderabad,8.25 Lakh
1082,Toyota,Innova,2.5 V 8 STR,2009,"1,37,628 Kms",Diesel,First,Hyderabad,7.25 Lakh
1083,Maruti Suzuki,Kizashi,CVT,2012,"42,000 Kms",Petrol,Second,Bangalore,6.5 Lakh
1084,Maruti Suzuki,Swift,VXi,2006,"79,915 Kms",Petrol,Second,Thane,1.75 Lakh
1085,Ford,Ecosport,Titanium 1.5 TDCi,2015,"83,378 Kms",Diesel,First,Bangalore,6.75 Lakh
1086,Maruti Suzuki,Swift DZire,VDi,2009,"75,000 Kms",Diesel,Second,Jalandhar,2.5 Lakh
1087,Audi,Q3,35 TDI Premium Plus,2014,"56,000 Kms",Diesel,First,Delhi,14.5 Lakh
1088,Maruti Suzuki,Swift DZire,VXi,2010,"54,339 Kms",Petrol,First,Thane,3.1 Lakh
1089,Toyota,Innova,2.5 G 7 STR BS-III,2011,"1,21,042 Kms",Diesel,First,Thane,5.95 Lakh
1090,Renault,Duster,85 PS RXS 4X2 MT Diesel,2017,"72,000 Kms",Diesel,First,Thane,7.55 Lakh
1091,Mercedes-Benz,GLE,350 d,2021,"1,500 Kms",Diesel,First,Delhi,89.9 Lakh
1092,Porsche,Cayenne,Platinum Edition,2017,"25,000 Kms",Petrol,First,Delhi,75 Lakh
1093,BMW,X3,xDrive 20d Luxury Line [2018-2020],2020,"11,500 Kms",Diesel,First,Mumbai,68.5 Lakh
1094,Maruti Suzuki,Baleno,Zeta 1.2 AT,2018,"15,030 Kms",Petrol,First,Mumbai,9.7 Lakh
1095,Volkswagen,Polo,Comfortline 1.2L (P),2018,"10,946 Kms",Petrol,First,Mumbai,5.95 Lakh
1096,Hyundai,Creta,1.6 SX Plus AT Petrol,2017,"43,040 Kms",Petrol,First,Mumbai,11.25 Lakh
1097,Hyundai,i10,Sportz 1.2 Kappa2,2011,"37,000 Kms",Petrol,First,Mumbai,2.6 Lakh
1098,Maruti Suzuki,Ertiga,ZXi Plus,2019,"8,522 Kms",Petrol,First,Mumbai,10.9 Lakh
1099,Maruti Suzuki,Celerio,VXi,2014,"58,000 Kms",Petrol,First,Delhi,3.55 Lakh
1100,Mercedes-Benz,GLS,350 d,2019,"58,548 Kms",Diesel,First,Chennai,72 Lakh
1101,BMW,5-Series,530d M Sport [2013-2017],2018,"28,480 Kms",Diesel,First,Chennai,54 Lakh
1102,BMW,X1,sDrive20d Expedition,2017,"28,000 Kms",Diesel,First,Kolkata,20.5 Lakh
1103,BMW,5-Series,525d Sedan,2012,"58,000 Kms",Diesel,First,Delhi,11 Lakh
1104,BMW,5-Series,530d M Sport [2013-2017],2018,"28,480 Kms",Diesel,First,Chennai,54 Lakh
1105,BMW,X1,sDrive20d Expedition,2017,"28,000 Kms",Diesel,First,Kolkata,20.5 Lakh
1106,Ford,Ecosport,Titanium 1.5 TDCi,2015,"83,378 Kms",Diesel,First,Bangalore,6.75 Lakh
1107,Hyundai,i20,Sportz 1.4 CRDI 6 Speed BS-IV,2012,"59,256 Kms",Diesel,First,Delhi,2.65 Lakh
1108,Honda,Brio,VX MT,2017,"54,805 Kms",Petrol,First,Delhi,3.95 Lakh
1109,BMW,X1,sDrive20d xLine,2018,"32,000 Kms",Diesel,First,Delhi,29.5 Lakh
1110,Mercedes-Benz,GLA,200 Sport,2017,"23,000 Kms",Petrol,First,Delhi,23 Lakh
1111,Mercedes-Benz,C-Class,C 220d Progressive [2018-2019],2019,"25,000 Kms",Diesel,First,Delhi,38.5 Lakh
1113,Mercedes-Benz,C-Class,C 200 Avantgarde,2016,"58,000 Kms",Petrol,First,Delhi,29 Lakh
1114,Audi,Q5,40 TDI Technology,2019,"10,000 Kms",Diesel,First,Delhi,49 Lakh
1115,Mercedes-Benz,CLA,200 D Urban Sport,2019,"23,000 Kms",Diesel,First,Delhi,28.5 Lakh
1116,Jeep,Compass,Limited Plus 2.0 Diesel 4x4 AT,2020,"17,000 Kms",Diesel,First,Delhi,24.5 Lakh
1117,Audi,A3,35 TFSI Premium Plus,2020,"23,000 Kms",Petrol,First,Delhi,25 Lakh
1118,Audi,Q5,30 TDI Sports Edition,2014,"33,000 Kms",Diesel,First,Delhi,21 Lakh
1119,BMW,5-Series,525d Sedan,2012,"58,000 Kms",Diesel,First,Delhi,11 Lakh
1120,BMW,5-Series,520d Sedan,2013,"24,000 Kms",Diesel,First,Delhi,15.5 Lakh
1121,BMW,3-Series,320d Luxury Line [2014-2016],2016,"44,000 Kms",Diesel,Second,Delhi,26.5 Lakh
1122,MG,Hector,Smart 1.5 DCT Petrol [2019-2020],2020,"10,300 Kms",Petrol,First,Delhi,17.5 Lakh
1123,Maruti Suzuki,Ritz,VXI BS-IV,2009,"74,123 Kms",Petrol,Second,Thane,2 Lakh
1124,Nissan,Terrano,XL (D),2015,"45,000 Kms",Diesel,First,Delhi,5.5 Lakh
1125,Renault,Duster,110 PS RxZ Diesel,2012,"70,000 Kms",Diesel,First,Delhi,4 Lakh
1126,Maruti Suzuki,Ciaz,VDi+ SHVS,2016,"37,000 Kms",Diesel,Second,Delhi,6.25 Lakh
1127,Honda,Brio,S MT,2012,"35,123 Kms",Petrol,Second,Thane,2.65 Lakh
1128,Ford,Figo,Titanium 1.5 Ti-VCT AT,2016,"19,677 Kms",Petrol,First,Bangalore,6.95 Lakh
1129,Mahindra,TUV300,T10 Dual Tone,2018,"22,430 Kms",Diesel,First,Bangalore,9.9 Lakh
1130,Honda,Brio,S MT,2012,"35,123 Kms",Petrol,Second,Thane,2.65 Lakh
1131,Maruti Suzuki,Ritz,Lxi BS-IV,2011,"57,123 Kms",Petrol,Second,Thane,2.25 Lakh
1132,Audi,A3,35 TDI Premium Plus + Sunroof,2020,"7,000 Kms",Diesel,First,Delhi,32 Lakh
1133,Maruti Suzuki,Ritz,VXI BS-IV,2009,"74,123 Kms",Petrol,Second,Thane,2 Lakh
1134,Nissan,Terrano,XL (D),2015,"45,000 Kms",Diesel,First,Delhi,5.5 Lakh
1135,Renault,Duster,110 PS RxZ Diesel,2012,"70,000 Kms",Diesel,First,Delhi,4 Lakh
1136,Maruti Suzuki,Ciaz,VDi+ SHVS,2016,"37,000 Kms",Diesel,Second,Delhi,6.25 Lakh
1137,Hyundai,Verna,SX 1.5 VTVT,2020,"19,000 Kms",Petrol,First,Delhi,11.75 Lakh
1138,Ford,Mustang,GT Fastback 5.0L v8,2017,"18,000 Kms",Petrol,First,Delhi,72 Lakh
1139,Mercedes-Benz,SLK-Class,350,2015,"32,000 Kms",Petrol,Second,Delhi,39.5 Lakh
1140,Skoda,Rapid,Monte Carlo 1.6 MPI AT,2019,"13,191 Kms",Petrol,First,Bangalore,11.95 Lakh
1141,Audi,A6,2.0 TDI Premium,2013,"42,498 Kms",Diesel,First,Bangalore,23.85 Lakh
1142,Maruti Suzuki,Ciaz,Alpha 1.4 AT,2019,"13,902 Kms",Petrol,First,Bangalore,10.85 Lakh
1143,Maruti Suzuki,Celerio,VXi AMT,2014,"18,549 Kms",Petrol,Second,Bangalore,4.4 Lakh
1144,Toyota,Fortuner,3.0 4x2 MT,2012,"81,300 Kms",Diesel,First,Thane,13.45 Lakh
1145,Maruti Suzuki,Ertiga,VDI SHVS,2017,"45,300 Kms",Diesel,First,Thane,8.15 Lakh
1146,Skoda,Superb,Elegance TSI AT,2010,"28,000 Kms",Petrol,Second,Mumbai,3.75 Lakh
1147,Maruti Suzuki,Celerio,ZXi (O) AMT [2017-2019],2018,"75,000 Kms",Petrol,First,Tiruchirappalli,5 Lakh
1148,Maruti Suzuki,Wagon R,VXi Minor,2010,"55,000 Kms",Petrol,Third,Varanasi,2.25 Lakh
1149,Hyundai,Santro,GLS,2007,"64,895 Kms",Petrol,First,Bhopal,1.35 Lakh
1150,Maruti Suzuki,Alto,LX BS-III,2007,"33,000 Kms",Petrol,First,Bhopal,1.1 Lakh
1151,Hyundai,Elite i20,Asta 1.4 CRDI [2016-2017],2021,"20,000 Kms",Diesel,First,Chandigarh,9.85 Lakh
1152,Maruti Suzuki,Wagon R,VXi Minor,2010,"55,000 Kms",Petrol,Third,Varanasi,2.25 Lakh
1153,Hyundai,Santro,GLS,2007,"64,895 Kms",Petrol,First,Bhopal,1.35 Lakh
1154,Maruti Suzuki,Alto,LX BS-III,2007,"33,000 Kms",Petrol,First,Bhopal,1.1 Lakh
1155,Hyundai,Elite i20,Asta 1.4 CRDI [2016-2017],2021,"20,000 Kms",Diesel,First,Chandigarh,9.85 Lakh
1156,BMW,X3,xDrive-20d xLine,2015,"75,000 Kms",Diesel,Second,Jaipur,22 Lakh
1157,Mercedes-Benz,GLA,200 CDI Sport,2016,"55,000 Kms",Diesel,First,Jaipur,22 Lakh
1158,Mercedes-Benz,C-Class,C 220 CDI Avantgarde,2015,"37,000 Kms",Diesel,First,Jaipur,23.5 Lakh
1159,Mercedes-Benz,E-Class,E220 CDI Blue Efficiency,2013,"72,000 Kms",Diesel,Second,Mumbai,12.5 Lakh
1160,Volkswagen,Passat,Highline,2018,"37,000 Kms",Diesel,First,Jaipur,25.5 Lakh
1161,Mahindra,XUV500,W11 (O) AT,2018,"41,702 Kms",Diesel,First,Mangalore,17.95 Lakh
1162,BMW,3-Series,320d Luxury Line,2012,"51,000 Kms",Diesel,Second,Jaipur,14.5 Lakh
1163,Renault,Duster,110 PS RXZ 4X2 AMT Diesel,2017,"41,759 Kms",Diesel,First,Mangalore,10.95 Lakh
1164,Toyota,Fortuner,3.0 MT,2010,"2,75,000 Kms",Diesel,First,Tiruchirappalli,9.4 Lakh
1165,Maruti Suzuki,Eeco,5 STR [2019-2020],2020,"10,700 Kms",Petrol,First,Tiruchirappalli,5 Lakh
1166,Mahindra,XUV500,W8,2011,"85,000 Kms",Diesel,Second,Mumbai,4.75 Lakh
1167,Maruti Suzuki,Celerio,VDi [2015-2017],2016,"55,000 Kms",Diesel,First,Mumbai,3.5 Lakh
1168,Maruti Suzuki,Vitara Brezza,VDi (O) [2016-2018],2018,"34,000 Kms",Diesel,First,Jaipur,8.8 Lakh
1169,Hyundai,Creta,1.6 SX (O),2015,"49,000 Kms",Diesel,First,Tiruchirappalli,10.5 Lakh
1170,Mahindra,TUV300,T6 Plus,2016,"1,08,000 Kms",Diesel,First,Hyderabad,6.25 Lakh
1171,Maruti Suzuki,Vitara Brezza,ZDi,2016,"1,30,000 Kms",Diesel,First,Tiruchirappalli,8 Lakh
1172,Ford,Ecosport,Ambiente 1.5L TDCi,2013,"21,871 Kms",Diesel,Second,Mangalore,6.25 Lakh
1173,Ford,Ecosport,Trend + 1.5L TDCi,2018,"59,116 Kms",Diesel,First,Mangalore,8.45 Lakh
1174,Hyundai,Creta,SX 1.6 CRDi (O),2019,"52,000 Kms",Diesel,First,Jaipur,14.25 Lakh
1175,Jeep,Compass,Limited Plus Diesel [2018-2020],2019,"81,000 Kms",Diesel,First,Jaipur,17.5 Lakh
1176,Honda,BR-V,V Diesel,2016,"1,23,000 Kms",Diesel,First,Tiruchirappalli,8.75 Lakh
1177,Ford,Ecosport,Trend 1.5L TDCi,2016,"65,000 Kms",Diesel,First,Jaipur,6.5 Lakh
1178,Ford,Ecosport,Titanium + 1.5L TDCi [2019-2020],2019,"32,887 Kms",Diesel,First,Mangalore,10.9 Lakh
1179,Maruti Suzuki,Swift,ZDi,2018,"1,50,000 Kms",Diesel,First,Tiruchirappalli,7 Lakh
1180,Maruti Suzuki,Wagon R,LXi CNG,2012,"67,000 Kms",CNG,First,Ahmedabad,2.9 Lakh
1181,Maruti Suzuki,Ertiga,Paseo Edition VDI,2014,"1,18,000 Kms",Diesel,Third,Tiruchirappalli,5.8 Lakh
1182,Maruti Suzuki,Ritz,Zdi BS-IV,2015,"55,000 Kms",Diesel,First,Mirzapur,3.9 Lakh
1183,Hyundai,Elite i20,Sportz 1.2 [2016-2017],2016,"37,000 Kms",Petrol,First,Tiruchirappalli,6.25 Lakh
1184,Honda,City,V,2021,"3,900 Kms",Petrol,First,Lucknow,10.25 Lakh
1185,Maruti Suzuki,Wagon R,VXI,2014,"72,000 Kms",Petrol,First,Tiruchirappalli,3.85 Lakh
1186,Hyundai,i20,Sportz 1.2 BS-IV,2011,"77,488 Kms",Petrol,First,Tiruchirappalli,3.5 Lakh
1187,Maruti Suzuki,Ritz,VXI BS-IV,2010,"43,000 Kms",Petrol,First,Bhopal,2.4 Lakh
1188,Hyundai,Eon,Era +,2014,"56,000 Kms",Petrol,Second,Tiruchirappalli,2.75 Lakh
1189,Maruti Suzuki,Alto 800,Lxi,2017,"21,000 Kms",Petrol,First,Tiruchirappalli,3.5 Lakh
1190,Skoda,Rapid,Ambition 1.6 MPI MT,2012,"77,000 Kms",Petrol,First,Chandigarh,3.7 Lakh
1191,Maruti Suzuki,Swift DZire,VXi 1.2 BS-IV,2011,"75,600 Kms",Petrol,First,Mumbai,2.98 Lakh
1192,Maruti Suzuki,Alto,VXi,2012,"52,000 Kms",Petrol,Second,Bhopal,2.25 Lakh
1193,Volkswagen,Polo,Highline Plus 1.2( P)16 Alloy [2017-2018],2018,"17,800 Kms",Petrol,First,Mangalore,8.45 Lakh
1194,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT [2016-2017],2017,"25,830 Kms",Petrol,First,Mangalore,5.95 Lakh
1195,Hyundai,Elite i20,Asta 1.4 CRDI [2016-2017],2021,"20,000 Kms",Diesel,First,Chandigarh,9.85 Lakh
1196,Skoda,Superb,Elegance TSI AT,2010,"28,000 Kms",Petrol,Second,Mumbai,3.75 Lakh
1197,Maruti Suzuki,Celerio,ZXi (O) AMT [2017-2019],2018,"75,000 Kms",Petrol,First,Tiruchirappalli,5 Lakh
1198,Maruti Suzuki,Wagon R,VXi Minor,2010,"55,000 Kms",Petrol,Third,Varanasi,2.25 Lakh
1199,Hyundai,Santro,GLS,2007,"64,895 Kms",Petrol,First,Bhopal,1.35 Lakh
1200,Skoda,Rapid,Ambition 1.6 MPI MT,2012,"77,000 Kms",Petrol,First,Chandigarh,3.7 Lakh
1201,Maruti Suzuki,Alto,VXi,2012,"52,000 Kms",Petrol,Second,Bhopal,2.25 Lakh
1202,Maruti Suzuki,Swift DZire,VXi 1.2 BS-IV,2011,"75,600 Kms",Petrol,First,Mumbai,2.98 Lakh
1203,Volkswagen,Polo,Highline Plus 1.2( P)16 Alloy [2017-2018],2018,"17,800 Kms",Petrol,First,Mangalore,8.45 Lakh
1204,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT [2016-2017],2017,"25,830 Kms",Petrol,First,Mangalore,5.95 Lakh
1205,Toyota,Innova,2.5 G 8 STR BS-IV,2010,"1,40,000 Kms",Diesel,Second,Mumbai,5.25 Lakh
1206,Maruti Suzuki,Swift DZire,VXI,2014,"70,000 Kms",Petrol,Second,Dehradun,4.1 Lakh
1207,Hyundai,Creta,1.6 SX Plus AT Petrol,2016,"40,000 Kms",Petrol,First,Gurgaon,9.9 Lakh
1208,Hyundai,Verna,Fluidic 1.6 CRDi SX,2012,"97,000 Kms",Diesel,Second,Jaipur,3.9 Lakh
1209,Maruti Suzuki,Wagon R,VXI,2006,"98,000 Kms",Petrol,Second,Jaipur,0.97
1210,Honda,Amaze,1.5 SX i-DTEC,2014,"72,000 Kms",Diesel,First,Jaipur,3.5 Lakh
1211,Maruti Suzuki,Ciaz,Zeta Hybrid 1.5 [2018-2020],2018,"8,000 Kms",Petrol,First,Delhi,8.5 Lakh
1212,Honda,City,1.5 V AT Sunroof,2014,"69,000 Kms",Petrol,First,Delhi,6.75 Lakh
1213,Toyota,Innova,2.5 G BS IV 7 STR,2015,"62,000 Kms",Diesel,First,Delhi,8.4 Lakh
1214,Hyundai,Grand i10,Sportz (O) 1.2 Kappa VTVT [2017-2018],2017,"45,000 Kms",Petrol,First,Delhi,4.7 Lakh
1215,Renault,Duster,85 PS RxL Diesel,2014,"41,000 Kms",Diesel,Second,Delhi,4.35 Lakh
1216,Honda,Brio,S MT,2014,"44,000 Kms",Petrol,First,Delhi,3.45 Lakh
1217,Jaguar,XF,3.0 V6 Premium Luxury,2012,"27,300 Kms",Diesel,First,Ambala Cantt,20.5 Lakh
1218,Hyundai,Creta,E Plus 1.4 CRDI,2018,"40,000 Kms",Diesel,First,Ahmedabad,9 Lakh
1219,Volkswagen,Polo,Highline1.2L (D),2014,"74,000 Kms",Diesel,Second,Surat,3.5 Lakh
1220,Toyota,Fortuner,2.8 4x4 MT [2016-2020],2018,"16,000 Kms",Diesel,Second,Tiruchirappalli,29.5 Lakh
1221,Toyota,Innova,2.4 VX 8 STR [2016-2020],2018,"36,000 Kms",Diesel,First,Tiruchirappalli,21.5 Lakh
1222,Mahindra,Marazzo,M2 7 STR,2019,"12,000 Kms",Diesel,First,Tiruchirappalli,10.25 Lakh
1223,Tata,Sumo,EX BS-IV,2014,"48,000 Kms",Diesel,First,Patna,3.5 Lakh
1224,Toyota,Fortuner,2.8 4x4 MT [2016-2020],2018,"16,000 Kms",Diesel,Second,Tiruchirappalli,29.5 Lakh
1225,Toyota,Innova,2.4 VX 8 STR [2016-2020],2018,"36,000 Kms",Diesel,First,Tiruchirappalli,21.5 Lakh
1226,Mahindra,Marazzo,M2 7 STR,2019,"12,000 Kms",Diesel,First,Tiruchirappalli,10.25 Lakh
1227,Tata,Sumo,EX BS-IV,2014,"48,000 Kms",Diesel,First,Patna,3.5 Lakh
1228,Skoda,Superb,Elegance 1.8 TSI AT,2010,"49,000 Kms",Petrol,First,Delhi,4.3 Lakh
1229,Honda,Civic,1.8S MT,2009,"52,000 Kms",Petrol,First,Delhi,2.55 Lakh
1230,Maruti Suzuki,Ertiga,VDi,2015,"42,000 Kms",Diesel,First,Patna,6.5 Lakh
1231,Maruti Suzuki,SX4,ZXi,2011,"69,000 Kms",Petrol,First,Thane,2.9 Lakh
1232,Mahindra,Bolero,SLX BS IV,2017,"42,000 Kms",Diesel,First,Patna,6.5 Lakh
1233,Ford,Figo,Trend 1.2 Ti-VCT [2015-2016],2016,"42,665 Kms",Petrol,First,Mangalore,4.99 Lakh
1234,Volkswagen,Vento,Highline Plus 1.5 (D) 16 Alloy,2017,"24,531 Kms",Diesel,First,Mangalore,9.8 Lakh
1235,Ford,Ecosport,S Diesel,2018,"24,794 Kms",Diesel,Second,Mangalore,10.9 Lakh
1236,Renault,Duster,85 PS RxE Diesel,2014,"56,000 Kms",Diesel,First,Patna,4.75 Lakh
1237,Hyundai,i10,Magna 1.2 Kappa2,2012,"18,000 Kms",Petrol,First,Delhi,2.5 Lakh
1238,Toyota,Innova,2.5 V 7 STR,2011,"95,000 Kms",Diesel,First,Lucknow,5.5 Lakh
1239,BMW,X1,sDrive20d xLine,2018,"23,000 Kms",Diesel,First,Delhi,27.25 Lakh
1240,Toyota,Etios Liva,VX Dual Tone,2018,"42,000 Kms",Petrol,First,Delhi,4.85 Lakh
1241,Renault,Lodgy,110 PS RXZ STEPWAY [2015-2016],2015,"68,000 Kms",Diesel,First,Delhi,4.45 Lakh
1242,Mahindra,XUV500,W6,2015,"24,000 Kms",Diesel,Second,Delhi,7.55 Lakh
1243,Honda,Civic,1.8V AT,2010,"68,000 Kms",Petrol,Second,Delhi,3.1 Lakh
1244,Maruti Suzuki,Ritz,VXI BS-IV,2010,"42,000 Kms",Petrol,First,Delhi,2.1 Lakh
1245,Mahindra,Thar,LX 4-STR Hard Top Petrol AT,2021,"4,000 Kms",Petrol,First,Delhi,18.4 Lakh
1246,Honda,Amaze,1.2 V CVT Petrol [2018-2020],2018,"19,000 Kms",Petrol,First,Mumbai,7.95 Lakh
1247,Hyundai,Creta,1.6 SX,2016,"47,723 Kms",Diesel,First,Gurgaon,8.06 Lakh
1248,Mercedes-Benz,C-Class,200 K AT,2015,"58,800 Kms",Petrol,First,Mumbai,19.75 Lakh
