,Brand,Model,Variant,Manufacturing_Year,Driven_Kilometers,Fuel,Number_Of_Owners,Location,Price
4268,Maruti Suzuki,Ertiga,VXI AT,2016,"54,000 Kms",Petrol,First,Mumbai,7.55 Lakh
4269,Hyundai,Verna,Fluidic 1.4 CRDi EX,2014,"69,121 Kms",Diesel,First,Mumbai,5.25 Lakh
4270,Maruti Suzuki,Ertiga,ZXi Plus,2019,"10,000 Kms",Petrol,First,Bangalore,10.25 Lakh
4271,Maruti Suzuki,Celerio,VXi,2016,"53,000 Kms",Petrol,Second,Ahmedabad,3.5 Lakh
4272,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT [2013-2016],2016,"24,858 Kms",Petrol,First,Mumbai,4.71 Lakh
4273,Honda,Amaze,1.2 V CVT Petrol [2018-2020],2020,"4,000 Kms",Petrol,First,Mumbai,8.95 Lakh
4274,Maruti Suzuki,Ertiga,ZDi,2013,"85,296 Kms",Diesel,First,Mumbai,5.95 Lakh
4275,Hyundai,i10,Era 1.1 iRDE2 [2010-2017],2012,"54,298 Kms",Petrol,Second,Mumbai,2.65 Lakh
4276,Hyundai,Elite i20,Asta 1.2 (O),2019,"21,585 Kms",Petrol,First,Mumbai,7.55 Lakh
4277,Toyota,Innova,2.4 VX 7 STR [2016-2020],2018,"99,000 Kms",Diesel,First,Chennai,18.25 Lakh
4278,Honda,Accord,2.4 AT,2012,"65,000 Kms",Petrol,Second,Delhi,5.5 Lakh
4279,Honda,CR-V,2.4 AT,2010,"75,000 Kms",Petrol,Second,Delhi,6.25 Lakh
4280,Toyota,Innova,2.5 V 7 STR,2013,"86,000 Kms",Diesel,First,Delhi,6.75 Lakh
4281,Maserati,GranTurismo,4.2 V8,2013,"6,000 Kms",Petrol,Second,Delhi,58 Lakh
4282,Maruti Suzuki,DZire,VXi,2019,"18,000 Kms",Petrol,First,Delhi,6.4 Lakh
4283,Maruti Suzuki,Alto 800,Lxi,2017,"21,000 Kms",Petrol,First,Delhi,3.2 Lakh
4284,Maruti Suzuki,Ertiga,VXI CNG,2017,"54,000 Kms",CNG,First,Delhi,7.3 Lakh
4285,Honda,Amaze,1.2 S i-VTEC,2017,"37,000 Kms",Petrol,First,Delhi,5.25 Lakh
4286,Honda,City,SV Diesel,2016,"72,000 Kms",Diesel,First,Ahmedabad,6.25 Lakh
4287,Audi,Q7,45 TDI Technology Pack,2017,"22,000 Kms",Diesel,First,Ahmedabad,58 Lakh
4288,Renault,Duster,110 PS RXZ 4X2 AMT Diesel,2016,"56,000 Kms",Diesel,First,Mumbai,7.75 Lakh
4289,Hyundai,Elite i20,Asta 1.2 (O),2019,"21,585 Kms",Petrol,First,Mumbai,7.55 Lakh
4290,Hyundai,i10,Era 1.1 iRDE2 [2010-2017],2012,"54,298 Kms",Petrol,Second,Mumbai,2.65 Lakh
4291,Toyota,Fortuner,2.8 4x2 AT [2016-2020],2017,"39,588 Kms",Diesel,Second,Mumbai,28.95 Lakh
4292,Mercedes-Benz,M-Class,ML 350 CDI,2011,"91,000 Kms",Diesel,Second,Mumbai,13.75 Lakh
4293,Honda,Jazz,X,2010,"1,16,774 Kms",Petrol,First,Mumbai,2.75 Lakh
4294,Maruti Suzuki,S-Cross,Alpha 1.3,2016,"98,000 Kms",Diesel,First,Chennai,7.4 Lakh
4295,Hyundai,i20,Asta 1.4 AT with AVN,2011,"38,685 Kms",Petrol,First,Mumbai,3.65 Lakh
4296,Honda,CR-V,2.4 AT,2010,"75,000 Kms",Petrol,Second,Delhi,6.25 Lakh
4297,Toyota,Innova,2.5 V 7 STR,2013,"86,000 Kms",Diesel,First,Delhi,6.75 Lakh
4298,Maruti Suzuki,Alto 800,Lxi,2017,"21,000 Kms",Petrol,First,Delhi,3.2 Lakh
4299,Hyundai,Elite i20,Sportz 1.2,2018,"30,000 Kms",Petrol,First,Delhi,6.75 Lakh
4300,Renault,Duster,110 PS RxZ Diesel,2015,"52,000 Kms",Diesel,First,Delhi,4.9 Lakh
4301,Honda,Amaze,1.5 E i-DTEC,2014,"52,000 Kms",Diesel,First,Delhi,3.4 Lakh
4302,Maruti Suzuki,Ertiga,VXI CNG,2017,"54,000 Kms",CNG,First,Delhi,7.3 Lakh
4303,Honda,Amaze,1.2 S i-VTEC,2017,"37,000 Kms",Petrol,First,Delhi,5.25 Lakh
4304,Honda,City,V Petrol [2017-2019],2017,"18,000 Kms",Petrol,First,Mumbai,8.75 Lakh
4305,Mahindra,XUV500,W6,2016,"87,000 Kms",Diesel,First,Ahmedabad,8.75 Lakh
4306,Mercedes-Benz,E-Class,E 220 d Avantgarde,2018,"19,000 Kms",Diesel,First,Mumbai,46.99 Lakh
4307,Maruti Suzuki,Swift,LXi,2013,"65,000 Kms",Petrol,First,Delhi,3.25 Lakh
4308,Renault,Duster,85 PS RXS 4X2 MT Diesel,2019,"42,000 Kms",Diesel,First,Ahmedabad,8.5 Lakh
4309,Volkswagen,Ameo,Comfortline 1.5L (D),2017,"29,000 Kms",Diesel,First,Ahmedabad,6 Lakh
4310,Mahindra,KUV100,K4 Plus D 6 STR,2019,"51,000 Kms",Diesel,First,Ahmedabad,4.9 Lakh
4311,Ford,Figo,Duratorq Diesel EXI 1.4,2012,"67,127 Kms",Diesel,Second,Bangalore,3.35 Lakh
4312,Honda,Amaze,1.5 E i-DTEC,2014,"52,000 Kms",Diesel,First,Delhi,3.4 Lakh
4313,Ford,Ecosport,Titanium 1.5 TDCi,2014,"74,000 Kms",Diesel,First,Mumbai,5.75 Lakh
4314,BMW,X1,sDrive20d Expedition,2017,"36,000 Kms",Diesel,First,Mumbai,23.5 Lakh
4315,Ford,Endeavour,Titanium Plus 3.2 4x4 AT,2019,"29,000 Kms",Diesel,First,Bangalore,35.5 Lakh
4316,Hyundai,Elite i20,Asta 1.2 [2016-2017],2016,"44,114 Kms",Petrol,First,Mumbai,5.85 Lakh
4317,Volkswagen,Vento,Highline Diesel AT [2015-2016],2016,"94,000 Kms",Diesel,First,Ahmedabad,7.75 Lakh
4318,Honda,City,1.5 V AT,2010,"85,928 Kms",Petrol,Third,Mumbai,3.45 Lakh
4319,Hyundai,Verna,Fluidic 1.6 CRDi SX,2013,"77,000 Kms",Diesel,First,Ahmedabad,5.5 Lakh
4320,Volkswagen,Polo,Highline1.5L (D),2016,"35,000 Kms",Diesel,First,Ahmedabad,5.75 Lakh
4321,Hyundai,Verna,SX Plus 1.6 CRDi AT,2018,"52,000 Kms",Diesel,First,Ahmedabad,10.75 Lakh
4322,Honda,Jazz,VX Petrol,2019,"33,000 Kms",Petrol,Second,Bangalore,6.75 Lakh
4323,Ford,Ecosport,Titanium 1.5L Ti-VCT,2016,"50,000 Kms",Petrol,First,Bangalore,7.5 Lakh
4324,Hyundai,Verna,1.6 VTVT SX,2018,"23,000 Kms",Petrol,First,Chennai,8.75 Lakh
4325,Toyota,Etios,GD,2016,"83,000 Kms",Diesel,First,Surat,4.25 Lakh
4326,Honda,WR-V,VX MT Petrol,2018,"38,000 Kms",Petrol,First,Chennai,8.25 Lakh
4327,Maruti Suzuki,Wagon R,VXI+ (O),2016,"40,000 Kms",Petrol,First,Bangalore,4.5 Lakh
4328,Renault,Duster,85 PS RXS 4X2 MT Diesel,2019,"36,000 Kms",Diesel,First,Bangalore,10.5 Lakh
